마포구,202109,4448,418,월드컵경기장역 3번출구 옆,37.57072067,126.8989792
영등포구,202109,4401,4565,영등포 신세계백화점,37.51803589,126.9036484
중구,202109,4377,431,청계천 영도교,37.57089996,127.0195236
동대문구,202109,4374,602,장안동 사거리,37.57217407,127.0713882
서대문구,202109,4373,117,홍은사거리,37.59115982,126.94133
노원구,202109,4338,1611,과기대 입구(우),37.63510895,127.0683289
강서구,202109,4327,1122,황금내근린공원,37.56193161,126.8638687
노원구,202109,4322,1625,상계역(4번출구),37.67694092,127.0550995
영등포구,202109,4304,259,대방역6번출구,37.51359177,126.9259338
영등포구,202109,4304,262,영문초등학교 사거리,37.51992798,126.889183
마포구,202109,4285,103,망원역 2번출구 앞,37.55495071,126.9108353
영등포구,202109,4268,249,여의도중학교 옆,37.52412033,126.9365463
강서구,202109,4259,1166,강서구립등빛도서관,37.56256866,126.8424606
양천구,202109,4258,780,신정교 하부,37.5173378,126.8776474
광진구,202109,4246,3569,건대병원후문,37.53956604,127.0724411
광진구,202109,4226,3518,군자역 7번출구뒤,37.55686188,127.0791397
강동구,202109,4219,1008,암사역 3번출구(국민은행앞),37.54957581,127.127182
성북구,202109,4207,1355,보문2교,37.58869934,127.0189133
강남구,202109,4190,2301,현대고등학교 건너편,37.52407074,127.0217896
강동구,202109,4171,1050,둔촌역 3번 출입구,37.52678299,127.1355743
성동구,202109,4168,568,청계8가사거리 부근,37.57110214,127.0235596
강서구,202109,4168,2733,마곡13단지 정문 앞,37.55854034,126.8201065
강서구,202109,4161,1117,스타벅스앞,37.55819702,126.8442612
서초구,202109,4141,2525,반포쇼핑타운 2동 앞,37.5056076,127.0021591
강서구,202109,4117,2717,LG유플러스 마곡사옥,37.56133652,126.8339005
동작구,202109,4114,2025,흑석역 1번출구,37.50938034,126.9636154
강서구,202109,4096,2720,힐스테이트에코,37.55965805,126.8296051
강서구,202109,4054,2721,등촌1-10단지 교차로,37.56320572,126.8393631
노원구,202109,4025,1674,서울북부고용센터앞,37.62694168,127.05513
강서구,202109,3992,2708,강서한강자이타워 앞,37.56468201,126.8489075
관악구,202109,3989,2109,은천로입구 가로공원,37.48622513,126.9358292
노원구,202109,3985,2919,등나무 근린공원(시립북서울미술관 앞) ,37.63999557,127.0665741
구로구,202109,3976,1985,구로도서관,37.49851608,126.8919907
영등포구,202109,3965,4561,양평역 1번출구,37.52572632,126.8860016
관악구,202109,3952,2107,도림천 신화교,37.4754715,126.9364548
은평구,202109,3944,931,역촌파출소,37.60473633,126.9153366
양천구,202109,3907,746,목동2단지 상가,37.53650284,126.8777466
